# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
Twiggy Flathead	트위기 플랫헤드
Twilight Acolyte	황혼의 수행사제
Twilight Aquamancer	황혼의망치단 정령사
Twilight Avenger	황혼의 복수자
Twilight Bodyguard	황혼의망치단 경호원
Twilight Corrupter	황혼의 타락자
Twilight Dark Shaman	황혼의 암흑주술사
Twilight Darkblade	황혼의 암흑칼날
Twilight Disciple	황혼의망치단 신도
Twilight Elementalist	황혼의망치단 원소마법사
Twilight Emissary	황혼의망치단 밀사
Twilight Fire Guard	황혼의 화염경비병
Twilight Fireblade	황혼의 화염검사
Twilight Flamereaver	황혼의 화염약탈자
Twilight Geolord	황혼의 대지술사
Twilight Geomancer	황혼의망치단 풍수사
Twilight Idolater	황혼의 우상숭배자
Twilight Keeper Exeter	황혼의 문지기 엑시터
Twilight Keeper Havunth	황혼의 문지기 하분스
Twilight Keeper Mayna	황혼의 문지기 메이나
Twilight Lord Everun	황혼의 군주 이브런
Twilight Lord Kelris	황혼의 군주 켈리스
Twilight Loreseeker	황혼의 진리탐구자
Twilight Marauder	황혼의 약탈자
Twilight Marauder Morna	황혼의 약탈자 모르나
Twilight Master	황혼의 장로
Twilight Overlord	황혼의 대군주
Twilight Overseer	황혼의 감독관
Twilight Paws	황혼 프오스
Twilight Prophet	황혼의 예언자
Twilight Reaver	황혼의망치단 약탈자
Twilight Runner	황혼의 흑표범
Twilight Shadowcaller	황혼의 그림자호출사
Twilight Shadowmage	황혼의 흑마법사
Twilight Shadowmancer	황혼의 그림자술사
Twilight Stonecaller	황혼의 돌소환사
Twilight Thug	황혼의 암살단원
Twilight's Hammer Ambassador	황혼의 망치단 사절
Twilight's Hammer Executioner	황혼의 망치단 집행자
Twilight's Hammer Torturer	황혼의 망치단 고문관
Twilight-Watcher Crendus	황혼의 감시자 크렌두스
Twinkie Boomstick	트윙키 붐스틱
Twisted Ancient	뒤틀린 고대
Twisted Grove Dryad	뒤틀린 숲 드리아드
Twisted Rumbler	뒤틀린 룸브렐
Twisted Water Elemental	뒤틀린 물 정령
Twitching Corpse	트잇치이응 시체
Twizwick Sprocketgrind	트위직 스프로켓그라인드
Tylekinah Lunalumina	틸레키나 루날루미나
Tyler	타일러
Tymor	티모르
Tynnus Venomsprout	타이너스 베놈스프라우트
Typharion	티프아리온
Tyrande	티란데
Tyrande Whisperwind	티란데 위스퍼윈드
Tyranis Malem	티라니스 말렘
Tyrant Devilsaur	폭군 데빌사우루스
Tyrant King Brog'dosh	폭군 왕 브로그도쉬
Tyrion	티리온
Tyrion Bouden	티리온 부든
Tyrion's Spybot	티리온의 첩보로봇
Tyvadrius	티바드리우스
U'cha	우차
Uda'pe Sungrass	우다페 수응랏스
Udo Keller	우도 켈렐
Ug'thok	오그톡
Uhgar	우가르
Uhk'loc	우크로크
Ukor	우코르
Ukra'nor	우크라노르
Ula'elek	울라엘레크
Ulag the Cleaver	학살자 울라그
Ulathek	울라텍
Ulbrek Firehand	울브렉 파이어핸드
Uldum Pedestal	울둠 받침대
Uldum Pedestal Target Bunny	울둠 받침대 타겟 버니
Ulf Stonetotem	울프 스토네토템
Ulfir Ironbeard	울피르 아이언비어드
Ullanna	울란나
Ulrich Buckert	울리치 부크엘트
Ulthaan	울샨
Ultham Ironhorn	울담 아이언혼
Ulthir	울시르
Um'bundi Sumobi	움분디 수모비
Uma Bartulm	우마 발툼
Umaron Stragarelm	우마론 스트래가렐름
Umber	움버
Umbranse the Spiritspeaker	영매 엄브런스
Umi Rumplesnicker	우미 럼플스니커
Umi Thorson	우미 토르슨
Umi's Mechanical Yeti	우미의 기계설인
Umpi	움피
Un'Goro Gorilla	운고로 고릴라
Un'Goro Stomper	운고로 우레고릴라
Un'Goro Thunderer	운고로 천둥고릴라
Un'Thuwa	운투와
Una	우나
Una Ji'ro	우나 지로
Unbalanced Aqua	불균형한 물
Undead Dynamiter	언데드 폭파병
Undead Excavator	언데드 굴착자
Undead Female Winter Reveler	언데드 여자 겨울맞이 축제 구경꾼
Undead Frenzy	언데드 프렌지
Undead Male Winter Reveler	언데드 남자 겨울맞이 축제 구경꾼
Undead Postman	언데드 우체부
Undead Ravager	언데드 약탈자
Undead Scarab	언데드 쇠똥구리
Undead Slayer	언데드 퇴치자
Undercity Commendation Officer	언더시티 인사장교
Undercity Elite Guardian	언더시티 정예 수호병
Undercity Fireeater	언더시티 불꽃마술사
Undercity Guardian	언더시티 수호병
Undercity Reveler	언더시티 구경꾼
Underfoot	언더풋
Undertaker Mordo	장의사 모르도
Unfettered Spirit	해방된 영혼
Unger Statforth	웅거 스타트포스
Unholy Axe	악령 깃든 도끼
Unholy Staff	악령 깃든 지팡이
Unholy Swords	악령 깃든 검
Unholy Toy Axe	안드리온 다크스피너
Unholy Toy Staff	기지 스펠위버
Unicorn	일각수
Unilda Thunderstone	우닐다 썬더스톤
Unliving Atal'ai	죽지 못하는 아탈라이트롤
Unliving Caretaker	죽지 못하는 관리인
Unliving Mossflayer	죽지 못하는 이끼껍질 트롤
Unliving Resident	죽지 못하는 주민
Unnatural Overgrowth	운나투랄 오벨그르오스
Unpainted Mechanostrider	무채색 기계타조 X
Unrelenting Deathknight	무자비한 죽음의 기사
Unrelenting Rider	무자비한 죽음의 기병
Unrelenting Trainee	무자비한 수련생
Unseen	혼령
Unseen Servant	보이지 않는 하수인
Unseen Stalker	보이지 않는 추적자
Unstable Arcane Elemental	불안정한 비전 정령
Unstable Corpse	비틀거리는 시체
Unstable Magic Zone	불안정한 마법 지대
Unstoppable Abomination	무시무시한 누더기골렘
Unstoppable Infernal	운스톱팝레 지옥불
Untamed Imp	길들지 않은 임프
Ur'dan	우르단
Ur'kyo	우르쿄
Urda	우르다
Ureda	우레다
Urek Thunderhorn	우렉 썬더혼
Urghor the Talker	수다쟁이 우르고르
Urok Doomhowl	우로크 둠하울
Urok Enforcer	우로크 집행자
Urok Ogre Magus	우로크 오우거마법사
Ursal the Mauler	투사 우르살
Ursan Ambusher	우르산 매복병
Ursan Furbolg	우르산 펄볼그
Ursan Marauder	우르산 약탈자
Ursan Shaman	우르산 주술사
Ursangous	우르산고우스
Ursius	우르시우스
Ursoc	우르속
Ursol	우르솔
Ursol'lok	우르솔로크
Ursula Deline	울슐라 델린
Ursyn Ghull	울신 굴
Urtharo	울타로
Urtrun Clanbringer	울트런 클랜브링어
Uruson	우루손
Uthan Stillwater	우탄 스틸워터
Uthek the Wise	현자 우텍
Uthel'nay	우텔나이
Uthil Mooncall	우실 문콜
Uthok	우톡
Uthrar Threx	우슬라 스렉스
Uthrok	우스로크
Uttnar	우트나르
Uz'tuk	웃툭
Uzzek	우제크
Va'jashni	바자쉬니
Vaean	바이안
Vaelan	밸란
Vaelastrasz	밸라스트라즈
Vaelastrasz the Corrupt	타락한 밸라스트라즈
Vaelastrasz the Red	적의의 밸라스트라즈
Vaenar Hollowstar	바에나르 할로우스타
Vagash	바가쉬
Vagrant Camp Refugee	부랑자 캠프 난민
Vagrog	박록
Vagron Bloodheart	바그론 블러드하트
Vahgruk	바그루크
Vahlarriel Demonslayer	발라리엘 데몬슬레이어
Vala'shan the Ancient	고대정령 발라샨
Valadar Starsong	발라다르 스타송
Valanos Dawnfire	발라노스 던파이어
Valdarion Smite	발다리온 스마이트
Valdaron	발다론
Valdos Madhound	발도스 매드하운드
Valdred Moray	발드레드 모레이
Vale Screecher	계곡천둥매
Valea Twinblades	발레아 트윈블레이드
Valentino Westwood	발렌티노 웨스트우드
Valgar Highforge	발가르 하이포지
Valiant	훌륭한
Valius	발리우스
Valkar	발카르
Valon Oaklight	발론 오크라이트
Valril the Seeker	탐색자 발릴
Valstag Ironjaw	발스탁 아이언조
Valund Halle	발룬드 할레
Vam	유령 준마
Vampiric Duskbat	그늘흡혈박쥐
Vampiric Gloomwing	밤피릭 그르우므이응
Vana Gracefall	바나 그레이스폴
Vance Undergloom	밴스 언더글룸
Vanessa Clang	바네사 클랭
Vanessa Moneybutton	바네사 머니버튼
Vanessa Porter\9	바네사 포터
Vangros	바응롯
Vanira Quel'Belore	바니라 켈벨로레
Vannamyr Featherwind	바나미르 페더윈드
Vanndar Stormpike	반다르 스톰파이크
Vanquished Tentacle	정복당한 촉수
Vanthalir'il Theron	반탈리릴 테론
Vanudal Goldweaver	바누달 골드위버
Var'jun	바르준
Var'zhog	바르조그
Varaxxius	바락시우스
Varg Windwhisper	바르그 윈드위스퍼
Vargus	바르구스
Varia Hardhide	바리아 하드하이드
Varian Wrynn	바리안 린
Varimathras	바리마트라스
Vark Battlescar	바르크 배틀스카
Varlag Duskbeard	바를라그 더스크비어드
Varna Wireburn	바르나 와이어번
Varo'then's Ghost	바로덴의 유령발늑대
Vartrus the Ancient	고대정령 바르투스
Vathras Millson	바트라스 밀슨
Vault Baron	금고 남작
Vault Warder	석실 관리인
Vaya Spidersbite	바야 스파이더스바이트
Vazario Linkgrease	바자리오 링크그리스
Vean'za	베안자
Vectus	벡투스
Veenix	비닉스
Vehena	비헤나
Vejrek	베즈렉
Vek Twins Trigger	베크 쌍둥이 트리거
Vekniss Borer	천공 베크니스
Vekniss Drone	일꾼 베크니스
Vekniss Guardian	수호병 베크니스
Vekniss Hatchling	새끼 베크니스
Vekniss Hive Crawler	집게발 베크니스
Vekniss Soldier	병정 베크니스
Vekniss Stinger	쐐기 베크니스
Vekniss Warrior	전사 베크니스
Vekniss Wasp	독침 베크니스
Vel'rin Fang	벨린 팡
Velandria Bladeweaver	베란드리아 브라데으이벨
Veldan Lightfoot	벨단 라이트푸트
Velessa Brightstar	벨레사 브라이트스타
Velinde Starsong	벨린데 스타송
Velma Warnam	벨마 워넘
Velora Nitely	벨로라 나이틀리
Veloren Brightstar	벨로렌 브라이트스타
Velos Sharpstrike	벨로스 샤프스트라이크
Velthelaxx the Defiler	벨스에락크 모독자
Velwin Gravelcrest	벨인 그라벨크렛트
Vem	벰
Vendor-Tron 1000	자동판매기 1000
Venethas	베네스앗
Veng	벵
Vengeful Ancient	복수심에 불타는 고대정령
Vengeful Memory	베응에풀 기억
Vengeful Phantom	복수의 악령
Vengeful Spirit	복수심 어린 영혼
Vengeful Surge	원한이 깃든 물의 정령
Venom Belcher	독고름 누더기골렘
Venom Mist Lurker	독안개 늑대거미
Venom Stalker	맹독 늑대거미
Venom Web Spider	그물독거미
Venomflayer Screecher	독날개 비명지르기
Venomflayer Serpent	독날개 뱀
Venomhide Ravasaur	맹독가죽 라바사우루스
Venomlash Chimaera	베놈래쉬 키메라
Venomlash Scorpid	맹독꼬리전갈
Venomous Cloud Serpent	맹독 구름천둥매
Venomous Cloudstalker	베놈아우스 크르아우드스탈켈
Venomous Jungle Serpent	독성이 강한 정글 뱀
Venomtail Scorpid	맹독전갈
Venomtip Scorpid	화염독침전갈
Venture Co. Analyst	투자개발회사 분석가
Venture Co. Bruiser	투자개발회사 투사
Venture Co. Builder	투자개발회사 목수
Venture Co. Cartographer	투자개발회사 지도 제작자
Venture Co. Deforester	투자개발회사 벌채꾼
Venture Co. Drifter	투자개발회사 드리프터
Venture Co. Drone	투자개발회사 일꾼
Venture Co. Drudger	투자개발회사 인부
Venture Co. Enforcer	투자개발회사 집행자
Venture Co. Engineer	투자개발회사 기술자
Venture Co. Foreman	투자개발회사 현장감독
Venture Co. Geologist	투자개발회사 지질학자
Venture Co. Hireling	투자개발회사 고용인
Venture Co. Infiltrator	투자개발회사 인필트라톨
Venture Co. Instigator	벤처 기업 설립자
Venture Co. Investigator	투자개발회사 조사관
Venture Co. Laborer	투자개발회사 잡일꾼
Venture Co. Logger	투자개발회사 나무꾼
Venture Co. Lookout	투자개발회사 망꾼
Venture Co. Lumber Worker	투자개발회사 목재 작업자
Venture Co. Lumberjack	투자개발회사 벌목꾼
Venture Co. Machine Smith	투자개발회사 기계공
Venture Co. Mechanic	투자개발회사 수리공
Venture Co. Mercenary	투자개발회사 용병
Venture Co. Miner	투자개발회사 광부
Venture Co. Oil Igniter	투자개발회사 기름 익니텔
Venture Co. Operative	투자개발회사 요원
Venture Co. Operator	투자개발회사 운전수
Venture Co. Overseer	투자개발회사 감독
Venture Co. Patroller	투자개발회사 순찰대원
Venture Co. Peon	투자개발회사 노동자
Venture Co. Plunderer	투자개발회사 프룬데렐
Venture Co. Shredder	투자개발회사 벌목기
Venture Co. Strip Miner	투자개발회사 갱부
Venture Co. Supervisor	투자개발회사 현장감독
Venture Co. Surveyor	투자개발회사 감시관
Venture Co. Taskmaster	투자개발회사 감독원
Venture Co. Thug	투자개발회사 깡패
Venture Co. Tinkerer	투자개발회사 땜장이
Venture Co. Vandal	투자개발회사 반달
Venture Co. Watcher	투자개발회사 감시자
Venture Co. Woodcutter	투자개발회사 벌목꾼
Venture Co. Workboss	투자개발회사 작업반장
Venture Co. Worker	투자개발회사 노역꾼
Venya Marthand	벤야 말선드
Vera Lauren	베라 로렌
Vera Nightshade	베라 나이트셰이드
Verdan the Everliving	영생의 베르단
Verdant Ooze	초록 진흙괴물
Verdantine Boughguard	초록용혈족 가지경비병
Verdantine Oracle	초록용혈족 예언자
Verdantine Tree Warder	초록용혈족 나무지기
Vereesa Windrunner	베리사 윈드러너
Verek	베레크
Veren Tallstrider	베렌 톨스트라이더
Verifonix	베리포닉스
Vermillion Riding Crab	주홍빛 탑승용 게
Verna Furlbrow	베르나 펄브로우
Verner Osgood	베르너 오스구드
Vernon Hale	버논 헤일
Vernon Nott	버논 놋
Verog the Dervish	광신자 베로그
Veron Amberstill	베론 앰버스틸
Verona Gillian	베로나 길리안
Verrus Trueshine	베러스 트루샤인
Very Sad Investor	매우 슬픈 투자자
Vesprystus	베스프리스투스
Vess	베스
Vesstra Nightbreath	베스트라 나이트브레스
Vestia Moonspear	베스티아 문스피어
Veteran Coldmine Explorer	정예 얼음이빨광산 측량관
Veteran Coldmine Guard	정예 얼음이빨광산 경비병
Veteran Coldmine Invader	정예 얼음이빨광산 점령군
Veteran Coldmine Surveyor	정예 얼음이빨광산 감독관
Veteran Commando	정예 특공대
Veteran Defender	정예 수호병
Veteran Guardian	정예 수호병
Veteran Guardsman	정예 보초병
Veteran Irondeep Explorer	정예 깊은무쇠광산 측량관
Veteran Irondeep Guard	정예 깊은무쇠광산 경비병
Veteran Irondeep Raider	정예 깊은무쇠광산 공격대원
Veteran Irondeep Surveyor	정예 깊은무쇠광산 감독관
Veteran Legionnaire	정예 용사
Veteran Mountaineer	정예 산악경비대
Veteran Outrunner	정예 정찰꾼
Veteran Ranger	정예 순찰자
Veteran Reaver	정예 돌격병
Veteran Sentinel	정예 파수꾼
Veteran Warrior	정예 전사
Vethsera	베스세라
Vexspindle	벡스스핀들
Veyzhak the Cannibal	식인트롤 베이쟉
Vhan	반
Vharr	바르
Vhreka	브레카
Vhulgra	불그라
Vi'cha Spirithowler	비차 스피릿하울러
Vi'el	비엘
Vice Admiral Renhoff	부제독 렌호프
Viceclaw	바이스클로
Vicious Gray Bear	흉포한 회색곰
Vicious Grell	흉포한 그렐
Vicious Night Web Spider	흉포한 검은그물거미
Vicious Owlbeast	흉포한 올빼미야수
Victor Bartholomew	빅터 바톨로뮤
Victor Ward	빅터 워드
Victorious Alliance Steed	승리의 얼라이언스 군마
Victorious Horde Wolf	승리의 호드 늑대
Victorious Thalassian Hawkstrider	승리의 탈라시안 매타조
Vidra Bullhorn	비드라 불혼
Vidra Hearthstove	비드라 하스스토브
Viessa Windseeker	브이스사 인드스이켈
Vifri Brent	비프리 브렌트
Vigil Cavalryman	비질 기병
Vigil Footman	비질 보병
Vikki Lonsav	비키 론사브
Viktor	빅토르
Viktori Prism'Antras	빅토리 프리즘안트라스
Vil'do One-Tusk	외엄니 빌도
Vile Bat	그림자박쥐
Vile Familiar	악마의 하수인
Vile Fin Lakestalker	썩은지느러미멀록 술사
Vile Fin Minor Oracle	썩은지느러미 수련사
Vile Fin Muckdweller	썩은지느러미 땅꾼
Vile Fin Oracle	썩은지느러미 점쟁이
Vile Fin Puddlejumper	썩은지느러미 보초
Vile Fin Shorecreeper	썩은지느러미 호수잠복꾼
Vile Fin Shredder	썩은지느러미 갈퀴잡이
Vile Fin Tidecaller	썩은지느러미 파도술사
Vile Fin Tidehunter	썩은지느러미 바다사냥꾼
Vile Larva	썩은구더기
Vile Ooze	썩은 수액괴물
Vile Priestess Hexx	타락한 여사제 헥스
Vile Scarab	청소부 스카라베
Vile Slime	오염된 진흙괴물
Vile Sprite	비열한 마귀
Vile Sting	죽음의 맹독전갈
Vile Tutor	타락한 학자
Vile'rel	타락의 문지기
Vilebranch Aman'zasi Guard	썩은가지 아만자시 경비병
Vilebranch Ambusher	썩은가지 복병
Vilebranch Axe Thrower	썩은가지 도끼투척병
Vilebranch Berserker	썩은가지 광전사
Vilebranch Blood Drinker	썩은가지 혈투사
Vilebranch Headhunter	썩은가지 인간사냥꾼
Vilebranch Hideskinner	썩은가지 암살자
Vilebranch Kidnapper	썩은가지 약탈자
Vilebranch Raiding Wolf	썩은가지일족의 길들인 늑대
Vilebranch Scalper	썩은가지 무두장이
Vilebranch Shadow Hunter	썩은가지 어둠사냥꾼
Vilebranch Shadowcaster	썩은가지 흑마술사
Vilebranch Soothsayer	썩은가지 예언자
Vilebranch Soul Eater	썩은가지 영혼사냥꾼
Vilebranch Speaker	썩은가지 전령
Vilebranch Warrior	썩은가지 전사
Vilebranch Witch Doctor	썩은가지 의술사
Vilebranch Wolf Pup	썩은가지 새끼 늑대
Vilemusk Felsworn	사악사향 지옥서약자
Vilemusk Hellcaller	사악사향 지옥호출사
Vilemusk Satyr	사악사향 사티로스
Vilemusk Shadowstalker	사악사향 그림자추적자
Vilewing Bat	사악날개 박쥐
Vilewing Batling	사악날개 새끼박쥐
Vinasia	비나시아
Vincent Hyal	빈센트 하이얄
Vinchaxa	빈차샤
Vinna Wayne	비나 웨인
Violet Feral Raptor	보랏빛 야성 랩터
Violet Raptor	길들인 보라색 랩터
Violet Thalassian Hawkstrider	보랏빛 탈라시안 매타조
Violet War Raptor	보라색 전투 랩터
Vipore's Gryphon	비포르의 전투그리핀
Vira Younghoof	비라 영후프
Viridian Hippogryph	비리디안 히포그리프
Viscidus	비시두스
Viscidus Trigger	비시디우스 트리거
Viscous Fallout	방사성 폐기물
Viscous Ooze	빗크아우스 수액괴물
Vish Kozus	비쉬 코주스
Vithekus	비스에쿳
Vivianna	비비안나
Vixie Dampknob	빅시 댐프놉
Viz Fizbeast	비즈 피즈비스트
Viz'neya Firefly	비즈네야 반딧불이
Vizlow	비즐로우
Viznik Goldgrubber	비즈닉 골드그러버
Vizzklick	비즈클릭
Vladeus Springriver	블라데우스 스프링리버
